seed_key,seed_label,source_system,source_id,doi,pmid,pmcid,title,journal,year,url,curation_decision,information_type,relation_scope,review_decision,review_theme,publish_scope,recommended_action,review_rationale,matched_technical_terms,matched_clinical_terms,matched_geo,query,fetched_at,curated_at,reviewed_at
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED41145244,10.1136/bmjopen-2025-103672,41145244,PMC12570914,Substandard and falsified medicine recalls in the legitimate supply chain: a systematic review of evidence.,,2025,https://europepmc.org/article/MED/41145244,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,regulatorio_calidad_no_radiofarmacia,auditoria_no_tablero_principal,Conservar como referencia secundaria; no publicar en tablero principal de radiofarmacia.,"Tema regulatorio/GMP/salud con contexto regional, pero sin senal especifica de radiofarmaco.",,,chile; brazil; argentina; mexico; colombia; peru,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
ga68_dotatate,Ga-68 DOTATATE,EuropePMC,MED40725693,10.3390/jcm14145002,40725693,PMC12295279,Cardiac Imaging in the Diagnosis and Management of Heart Failure.,,2025,https://europepmc.org/article/MED/40725693,revisar_manual,paper_clinico_pet_spect,revisar_manual,mantener_baja_prioridad,clinico_contextual_no_especifico,auditoria_no_tablero_principal,Conservar como contexto; promover solo si experto CCHEN confirma utilidad.,"Tiene contexto clinico o regional, pero no senal suficiente para vigilancia recurrente.",,pet; imaging; diagnostic,,"(""Ga-68 DOTATATE"" OR ""Gallium-68 DOTATATE"" OR ""68Ga-DOTATATE"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
ga68_dotatate,Ga-68 DOTATATE,EuropePMC,PMCPMC11152847,,,PMC11152847,Insights into calcific aortic valve stenosis: a comprehensive overview of the disease and advancing treatment strategies,,2024,https://europepmc.org/article/PMC/PMC11152847,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,clinico_contextual_no_especifico,auditoria_no_tablero_principal,Conservar como contexto; promover solo si experto CCHEN confirma utilidad.,"Tiene contexto clinico o regional, pero no senal suficiente para vigilancia recurrente.",,,,"(""Ga-68 DOTATATE"" OR ""Gallium-68 DOTATATE"" OR ""68Ga-DOTATATE"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
ga68_dotatate,Ga-68 DOTATATE,EuropePMC,MED39229379,10.3389/fendo.2024.1460320,39229379,PMC11368778,Prevention and management of hypertensive crises in children with pheochromocytoma and paraganglioma.,,2024,https://europepmc.org/article/MED/39229379,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,clinico_contextual_no_especifico,auditoria_no_tablero_principal,Conservar como contexto; promover solo si experto CCHEN confirma utilidad.,"Tiene contexto clinico o regional, pero no senal suficiente para vigilancia recurrente.",,,,"(""Ga-68 DOTATATE"" OR ""Gallium-68 DOTATATE"" OR ""68Ga-DOTATATE"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
i131,I-131,EuropePMC,MED38886971,10.11005/jbm.2024.31.2.140,38886971,PMC11184150,Impaired Quality of Life in Patients with Post-Surgical Hypoparathyroidism.,,2024,https://europepmc.org/article/MED/38886971,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,clinico_contextual_no_especifico,auditoria_no_tablero_principal,Conservar como contexto; promover solo si experto CCHEN confirma utilidad.,"Tiene contexto clinico o regional, pero no senal suficiente para vigilancia recurrente.",,,latin america,"(""I-131"" OR ""Iodine-131"" OR radioiodine) AND (CCHEN OR Chile OR ""Latin America"" OR radioprotection)",2026-05-19,2026-05-19,2026-05-19
lu177_dotatate,Lu-177 DOTATATE,EuropePMC,MED41114110,10.4251/wjgo.v17.i10.110203,41114110,PMC12531762,Rectal neuroendocrine tumors in a Latin American population: Insights from a Peruvian national cancer institute.,,2025,https://europepmc.org/article/MED/41114110,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,clinico_contextual_no_especifico,auditoria_no_tablero_principal,Conservar como contexto; promover solo si experto CCHEN confirma utilidad.,"Tiene contexto clinico o regional, pero no senal suficiente para vigilancia recurrente.",,,latin america; latin american; peru,"(""Lu-177 DOTATATE"" OR ""Lutetium-177 DOTATATE"" OR ""177Lu-DOTATATE"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
tc99m_sestamibi,Tc-99m sestamibi,EuropePMC,MED41066529,10.1371/journal.pntd.0013555,41066529,PMC12558611,"Effects of pentoxifylline in patients with chronic Chagas cardiomyopathy: A randomized, double-blind, controlled pilot trial.",,2025,https://europepmc.org/article/MED/41066529,revisar_manual,otro_revisar,revisar_manual,mantener_baja_prioridad,clinico_contextual_no_especifico,auditoria_no_tablero_principal,Conservar como contexto; promover solo si experto CCHEN confirma utilidad.,"Tiene contexto clinico o regional, pero no senal suficiente para vigilancia recurrente.",,,latin america,"(""Tc-99m sestamibi"" OR ""Technetium Tc 99m sestamibi"" OR ""99mTc-sestamibi"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,EuropePMC,MED41918852,10.1093/ofid/ofag042,41918852,PMC13035022,Disulfiram Exhibits Potent Copper-Dependent Antimicrobial Activity Against &lt;i&gt;Mycoplasma genitalium&lt;/i&gt;.,,2026,https://europepmc.org/article/MED/41918852,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubMed,41557397,10.1103/jgsw-zhny,41557397,,Energy Independence of the Collins Asymmetry in p^{↑}p Collisions.,Physical review letters,2025,https://pubmed.ncbi.nlm.nih.gov/41557397/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubMed,41004742,10.1103/wv2t-dkgn,41004742,,Measurement of Two-Point Energy Correlators within Jets in p+p Collisions at sqrt[s]=200 GeV.,Physical review letters,2025,https://pubmed.ncbi.nlm.nih.gov/41004742/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubMed,41965001,10.1103/ghzh-kv8z,41965001,,Observation of Charmonium Sequential Suppression in Heavy-Ion Collisions at the Relativistic Heavy Ion Collider.,Physical review letters,2026,https://pubmed.ncbi.nlm.nih.gov/41965001/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubMed,40929191,10.1103/2qhx-cp79,40929191,,Onset of Constituent Quark Number Scaling in Heavy-Ion Collisions at RHIC.,Physical review letters,2025,https://pubmed.ncbi.nlm.nih.gov/40929191/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubMed,41110054,10.1103/9l69-2d7p,41110054,,Precision Measurement of Net-Proton-Number Fluctuations in Au+Au Collisions at RHIC.,Physical review letters,2025,https://pubmed.ncbi.nlm.nih.gov/41110054/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubMed,41096695,10.1109/mcse.2007.55,41096695,PMC5549999,Synthesis and In Silico Profile Modeling of 6-,International journal of molecular sciences,2025,https://pubmed.ncbi.nlm.nih.gov/41096695/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,sin_senal_radiofarmacia_cchen,no_publicar,Excluir del tablero; revisar semilla si aparecen muchos casos similares.,"No muestra senal CCHEN, Chile/LatAm aplicable ni tema tecnico de radiofarmacia.",,,,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,EuropePMC,MED42066306,10.1103/rk8v-rcm3,42066306,,Test of the Gravitational Force Law on Cosmological Scales Using the Kinematic Sunyaev-Zeldovich Effect.,,2026,https://europepmc.org/article/MED/42066306,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubMed,42066306,10.1103/rk8v-rcm3,42066306,,Test of the Gravitational Force Law on Cosmological Scales Using the Kinematic Sunyaev-Zeldovich Effect.,Physical review letters,2026,https://pubmed.ncbi.nlm.nih.gov/42066306/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
ciclotron_f18,Ciclotrón / producción F-18,PubMed,41772733,10.1016/j.pocean.2023.103087,41772733,PMC10458688,Unveiling the viral frontier in a warming world: temperature as a key ecological driver of viral diversity in subantarctic Chilean Patagonia fjords.,Environmental microbiome,2026,https://pubmed.ncbi.nlm.nih.gov/41772733/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,chile; chilean,"(cyclotron OR ciclotron OR ""fluorine-18"" OR ""fluor-18"" OR ""F-18"") AND (CCHEN OR Chile OR ""Latin America"" OR ""isotope production"" OR ""medical cyclotron"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED41755417,10.1080/22221751.2026.2627077,41755417,PMC12951686,A recombinant BCG vaccine induces specific immunity against respiratory syncytial virus and &lt;i&gt;Mycobacterium bovis&lt;/i&gt; in calves in a field study.,,2026,https://europepmc.org/article/MED/41755417,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubMed,36931996,10.1016/j.jcyt.2023.02.009,36931996,,"A report on the International Society for Cell & Gene Therapy 2022 Scientific Signature Series, ""Therapeutic advances with native and engineered human extracellular vesicles"".",Cytotherapy,2023,https://pubmed.ncbi.nlm.nih.gov/36931996/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED40612010,10.1080/20523211.2025.2520861,40612010,PMC12224729,A scoping review of authorisation pathway for COVID&lt;b&gt;-&lt;/b&gt;19 vaccines among selected countries.,,2025,https://europepmc.org/article/MED/40612010,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,sin_senal_radiofarmacia_cchen,no_publicar,Excluir del tablero; revisar semilla si aparecen muchos casos similares.,"No muestra senal CCHEN, Chile/LatAm aplicable ni tema tecnico de radiofarmacia.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED41815920,10.3389/fphar.2026.1767844,41815920,PMC12971720,A transdisciplinary framework for managing metabolic dysfunction associated steatotic liver disease.,,2026,https://europepmc.org/article/MED/41815920,revisar_manual,paper_clinico_pet_spect,revisar_manual,descartar_ruido,sin_senal_radiofarmacia_cchen,no_publicar,Excluir del tablero; revisar semilla si aparecen muchos casos similares.,"No muestra senal CCHEN, Chile/LatAm aplicable ni tema tecnico de radiofarmacia.",,diagnostic,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubMed,17063120,10.1097/01.cji.0000211319.00031.fc,17063120,,Anti-OX40 (CD134) administration to nonhuman primates: immunostimulatory effects and toxicokinetic study.,"Journal of immunotherapy (Hagerstown, Md. : 1997)",2006,https://pubmed.ncbi.nlm.nih.gov/17063120/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,sin_senal_radiofarmacia_cchen,no_publicar,Excluir del tablero; revisar semilla si aparecen muchos casos similares.,"No muestra senal CCHEN, Chile/LatAm aplicable ni tema tecnico de radiofarmacia.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubMed,34539651,10.3390/cells8080939,34539651,PMC6721668,Augmented Expansion of Treg Cells From Healthy and Autoimmune Subjects,Frontiers in immunology,2021,https://pubmed.ncbi.nlm.nih.gov/34539651/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,sin_senal_radiofarmacia_cchen,no_publicar,Excluir del tablero; revisar semilla si aparecen muchos casos similares.,"No muestra senal CCHEN, Chile/LatAm aplicable ni tema tecnico de radiofarmacia.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED39806427,10.1186/s12951-024-03088-x,39806427,PMC11730155,Clinical-grade extracellular vesicles derived from umbilical cord mesenchymal stromal cells: preclinical development and first-in-human intra-articular validation as therapeutics for knee osteoarthritis.,,2025,https://europepmc.org/article/MED/39806427,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED41133504,10.3390/medsci13040222,41133504,PMC12551035,"Decentralized Clinical Trials: Governance, Ethics and Medico-Legal Issues for the New Paradigm of Research with a Focus on Cardiovascular Field.",,2025,https://europepmc.org/article/MED/41133504,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,sin_senal_radiofarmacia_cchen,no_publicar,Excluir del tablero; revisar semilla si aparecen muchos casos similares.,"No muestra senal CCHEN, Chile/LatAm aplicable ni tema tecnico de radiofarmacia.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,PubMed,31983799,10.1167/iovs.18-26222,31983799,PMC4936829,Distributed automated manufacturing of pluripotent stem cell products.,"The International journal, advanced manufacturing technology",2020,https://pubmed.ncbi.nlm.nih.gov/31983799/,revisar_manual,otro_revisar,revisar_manual,descartar_ruido,ruido_biomedico_o_conferencia,no_publicar,Excluir del tablero; conservar evidencia de descarte.,"Registro generico, conferencia, biomedico no radiofarmaceutico o fisica no aplicable.",,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
control_calidad_radiofarmacos,Control de calidad de radiofármacos,EuropePMC,MED41560746,10.3389/fphar.2025.1710176,41560746,PMC12813196,Effectiveness of drug-loaded poly(ethylene glycol) and poly(lactic-co-glycolic-acid) nanoparticles in the &lt;i&gt;in vitro&lt;/i&gt; treatment of breast cancer: a systematic review.,,2025,https://europepmc.org/article/MED/41560746,descartar_ruido,otro_revisar,ruido_probable,descartar_ruido,ruido_probable,no_publicar,Excluir del tablero principal.,Registro clínico genérico sin vínculo CCHEN/Chile/LatAm ni señal técnica prioritaria.,,,,"(""radiopharmaceutical quality control"" OR ""control de calidad de radiofarmacos"" OR ""good manufacturing practice"") AND (CCHEN OR Chile OR ""Latin America"")",2026-05-19,2026-05-19,2026-05-19
